Violation,Count (Men)
Racket Abuse,646
Audible Obscenity,344
Unsportsmanlike Conduct,287
Coaching,87
Ball Abuse,49
Verbal Abuse,62
Visible Obscenity,20
No Press,6
Time Violations,7
Best Effort,2
Default,2
Doubles Attire,2
Late for Match,1
First-Round Retirement,2
