Name,Rank
Rafael Nadal,1
Roger Federer,2
Novak Djokovic,3
Juan Martin del Potro,4
Alexander Zverev,5
Marin Cilic,6
Grigor Dimitrov,7
Dominic Thiem,8
Kevin Anderson,9
John Isner,10
