Urban area,Size,Latitude,Longitude,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,Population,College,High school,No high school,Has rapid transit
"Anchorage, AK",86.00800000000001,61.167898,-149.84715500000001,0.8733950340693128,0.03553715177453995,3151,0.8793311669717003,0.8926573274927354,1277,0.4291,250114,0.3385862444746477,0.5765161811703339,0.08489757435501843,Yes
"Anderson, IN",66.353,40.089827,-85.679807,0.9113144893496395,0.02189465727167193,457,0.921275853356274,0.7490968053935653,691,0.4549,87438,0.18559290845960605,0.6794726146855049,0.13493447685488905,No
"Anderson, SC",75.358,34.520717,-82.660933,0.945769171344698,0.008034196837822527,753,0.8899203778835248,0.6618146953717423,768,0.4757,86605,0.22307374367099508,0.6143181896462646,0.16260806668274033,No
"Ann Arbor, MI",164.821,42.240003,-83.662679,0.7822179106570981,0.08077561420323055,7656,0.9727706426548006,0.8730574973039653,1034,0.4825,325082,0.5397783588594197,0.4055734030631304,0.05464823807744988,Yes
"Anniston--Oxford, AL",87.30399999999999,33.664398,-85.828795,0.9248069595710962,0.016218767913140236,304,0.891571217963257,0.7375112278034962,629,0.4706,72045,0.21294162441634437,0.6559988777780005,0.1310594978056552,No
"Antioch, CA",81.70400000000001,37.991687,-121.78211999999999,0.8662494368100924,0.014459900878576256,2759,0.9427695517630907,0.9077828220991842,1697,0.4197,313426,0.21739173242882673,0.6312428925176364,0.1513653750535369,Yes
"Appleton, WI",107.947,44.24668,-88.411096,0.9111594891941712,0.021394790180917347,3044,0.9632424092431316,0.8765731565379135,774,0.4391,225645,0.3216781837428416,0.6259722669682365,0.05234954928892191,No
"Asheville, NC",267.308,35.536428,-82.66557,0.8705224371627845,0.013909724963811028,3334,0.8836945372729378,0.8053234819034075,931,0.4466,307301,0.3883564925730714,0.5192727466325933,0.0923707607943353,No
"Athens-Clarke County, GA",99.392,33.942069000000004,-83.398271,0.8220672793951193,0.041336532802100784,1427,0.8815593176363754,0.8658085094264396,848,0.5194,139634,0.4532496420535897,0.44051697688688896,0.10623338105952138,No
"Atlanta, GA",2681.4580000000005,33.824102,-84.331858,0.8547471693579873,0.014323899528476609,113121,0.8680715009920732,0.8788613680505077,1141,0.4734,5057220,0.4064961648955373,0.49524569486679093,0.09825814023767174,Yes
"Atlantic City, NJ",129.599,39.371611,-74.590128,0.8298361887999707,0.040948216593790394,2963,0.9087953646662799,0.8261949099937926,1022,0.48,245623,0.3138165192536814,0.5571917386124202,0.12899174213389833,No
"Auburn, AL",50.259,32.614294,-85.44393199999999,0.9120790113134586,0.04943432707130353,1472,0.935426210684565,0.8495739736638265,793,0.5075,85478,0.40618815963060684,0.5110075857519789,0.08280425461741425,No
