Name,Height
John Isner,82
Roger Federer,73
Milos Raonic,77
Nick Kyrgios,76
Kevin Anderson,80
Sam Querrey,78
Juan Martin del Potro,78
Marin Cilic,78
Rafael Nadal,73
Steve Johnson,74
Novak Djokovic,74
Karen Khachanov,78
Dominic Thiem,73
Stefanos Tsitsipas,76
Ryan Harrison,73
Alexander Zverev,78
Grigor Dimitrov,75
